v3,03/Jun/2026,08:18:26,UTC

SCRIPT
Name,Regress PRO EN
Description,
Created,21/Jun/2023,11:48:17

REPORT COMMENTS
(none)

,,,show,number
,,,show,tester
,,,show,date
,,,hide,time
,,,hide,tag filter
,,,show,build
""
,,,,pass
,,,,fail
,,,,blocked
,,,,tried

number,indent,text,tags,notes
110,2,"At the top, the correct total balance of the selected wallet in fiat is displayed (TON + jettons)",,
111,1,Buy +,,
112,2,Available onramps are displayed,,
113,2,"The ""Other ways to buy"" button leads to the TON Community Telegram channel (EN: @toncoin / RU: @toncoin_rus)",,
114,2,Warning screen,,
115,3,Warning about opening an external app with working links to Terms of Use and Privacy Policy,,
116,3,"Opens on the first visit and if ""Do not show again"" is not selected",,
117,1,Receive ↓,,
118,2,"Opens the ""Receive {{token}}"" screen",,
119,2,It is possible to switch tabs between TON and TRC20 addresses,,
120,2,"If TRC20 is not on the balance, the first time the user opens the TRC20 tab, enabling it is suggested",,
121,2,The network address is shown correctly,,
122,2,The QR code contains a deeplink with the correct address,,
123,3,ton://transfer/{{address}} for TON,,
124,3,{{address}} for TRON,,
125,3,ton://transfer/{{address}}&jetton={{jetton_master}} for other TON tokens (available from the token screen),,
126,2,"It is possible to copy the address by tapping on the QR, address or Copy",,
127,2,It is possible to share the address in Telegram,,
128,1,,,
129,1,Send TON,,
130,2,ctrl+c/ctrl+v works in all fields,,
131,2,Send screen,,
132,3,Address,,
133,4,It is possible to enter [TON wallet address] OR [dns] OR [tg username],,
134,4,Validation works if the address field is filled incorrectly,,
135,3,Comment,,
136,4,It is possible to enter letters/numbers/special characters/emojis,,
137,4,There is no limit on the number of characters in the comment,,
138,4,"If the transfer is to an exchange address, an orange warning is shown and the user cannot proceed to the next screen",,
139,3,Amount,,
140,4,Currency selection,,
141,5,TON currency is displayed by default,,
142,5,"If the entry point was the token screen, the selected token is displayed for sending",,
143,5,It is possible to change the sending currency on the amount input screen,,
144,5,Reset the amount when switching the token if it was previously entered,,
145,5,"When switching to a token with a different number of decimal places, verify that the correct amount is sent",,
146,4,"""Amount"" field",,
147,5,"Integer and fractional amounts can be entered. Up to 24 characters total (including the separator). After the decimal point, at most as many digits as the token allows (TON = 9, USDT = 6)",,
148,5,Validation error when entering > current balance,,
149,5,"It is possible to enter the entire balance by pressing ""Maximum"" or by hand",,
150,5,"The ""Available:"" value decreases after entering the amount",,
151,5,"It is possible to specify the amount in fiat, there is a swap button to switch",,
152,5,Tapping Continue opens the transaction confirmation screen,,
153,3,"The ""Continue"" button is not active until the ""Address or domain"" and ""Amount"" fields are filled",,
154,2,Confirm transaction screen,,
155,3,The name of the wallet you are sending from is displayed,,
156,3,"If transferring to a favorite contact or via DNS, the ""Recipient"" field with the name is displayed",,
157,3,"For tokens - the sending amount is indicated in tokens, the fee in TON",,
158,3,For all amounts the conversion to fiat is displayed,,
159,3,"The recipient address, transfer amount and fee are displayed",,
160,3,The address and dns name of the recipient can be copied,,
161,3,"After tapping ""Confirm and send"", PIN or biometric confirmation opens",,
162,3,"After entering the PIN or biometrics, the History screen opens (same for other transactions)",,
163,1,,,
164,2,Scaled UI tokens,,
165,3,The scaled_ui jetton balance is displayed scaled: balance * numerator / denominator,,
166,3,"When sending the jetton, the user enters a scaled amount, but the unscaled amount is sent on-chain",,
167,3,History shows the scaled amount,,
168,4,in token-specific history,,
169,4,in general history,,
170,3,,,
171,2,Send USDT TRC20,,
172,3,It is possible to enter/scan/paste a TRON wallet address,,
173,3,Only USDT TRC20 can be sent; the flow is similar to Send TON,,
174,3,"USDT TRC20 can be sent for battery, TON and TRX",,
175,3,"On the USDT TRC20 screen, the ""N Transfers available"" line is shown. The transfer count is calculated correctly.",,
176,3,If there are not enough funds for fees,,
177,4,"Available fee payment methods are listed: Battery, TON, TRX",,
178,4,Required values per one transfer is shown correctly,,
179,4,Refill Battery -> opens the Battery screen,,
180,4,Refill TON -> opens the Receive Toncoin screen,,
181,4,Refill TRX -> opens the Receive Tron TRX screen,,
182,3,,,
183,3,Insufficient balance for an action or transaction,,
184,4,"The ""Not enough funds"" screen is displayed",,
185,3,,,
186,2,Swap Omniston,,
187,3,The user can enter an amount in the Send/Receive fields,,
188,3,"While waiting for Omniston, a loader spins on the Continue button and the rate is shown in gray with animation",,
